FinancialId,dateKey,storeId,Revenue,COGS,operatingExpenses,marketingExpenses,taxAmount,grossProfit,netProfit
1,20240101,1,294.15,191.12,40.17,14.84,11.21,103.03,36.81
2,20240101,2,1531.94,1046.37,311.37,114.13,59.08,485.57,0.99
3,20240101,3,6624.21,4214.82,859.35,221.9,213.84,2409.39,1114.3
4,20240101,4,4567.76,2879.56,943.69,285.13,140.95,1688.2,318.43
5,20240101,5,3783.85,2659.34,717.28,241.08,152.02,1124.51,14.13
6,20240101,6,1414.12,956.97,183.53,58.23,69.78,457.15,145.61
7,20240101,7,3891.9,2673.02,784.61,197.03,166.5,1218.88,70.74
8,20240101,8,2400.29,1488.1,393.85,184.69,95.9,912.19,237.75
9,20240101,9,4886.3,2917.65,799.05,224.7,242.75,1968.65,702.15
10,20240101,10,3044.06,1938.09,393.52,195.65,109.56,1105.97,407.24
11,20240101,11,6094.37,3623.6,1012.23,330.37,253.05,2470.77,875.12
12,20240101,12,290.44,194.4,50.4,14.63,12.82,96.04,18.19
13,20240101,13,3324.24,2114.85,725.54,120.96,141.91,1209.39,220.98
14,20240101,14,1108.53,778.22,160.89,68.67,54.62,330.31,46.13
15,20240101,15,5577.92,3703.93,1176.19,291.49,230.8,1873.99,175.51
16,20240101,16,1103.34,667.02,165.59,77.21,48.62,436.32,144.9
17,20240101,17,3298.12,2148.88,490.96,217.83,141.79,1149.24,298.66
18,20240101,18,1420.67,885.09,206.98,109.06,62.81,535.58,156.73
19,20240101,19,1355.63,941.24,280.21,57.98,51.95,414.39,24.25
20,20240101,20,3298.47,2291.35,402.95,159.95,136.04,1007.12,308.18
21,20240102,1,4297.9,2773.55,938.57,169.62,149.63,1524.35,266.53
22,20240102,2,1531.27,836.66,261.9,90.91,74.41,694.61,267.39
23,20240102,3,3693.15,2349.78,738.47,213.5,156.57,1343.37,234.83
24,20240102,4,2854.77,1803.24,504.63,95.46,135.04,1051.53,316.4
25,20240102,5,5263.89,3378.84,748.35,191.32,160.44,1885.05,784.94
26,20240102,6,3284.47,2020.23,425.21,203.56,115.13,1264.24,520.34
27,20240102,7,5242.47,3620.63,984.95,400.57,163.1,1621.84,73.22
28,20240102,8,3554.43,2311.47,716.47,243.55,121.29,1242.96,161.65
29,20240102,9,5023.59,2958.61,725.82,342.21,181.2,2064.98,815.75
30,20240102,10,3238.21,2128.41,470.47,135.18,146.71,1109.8,357.44
31,20240102,11,2592.41,1516.2,330.1,140.77,128.67,1076.21,476.67
32,20240102,12,4031.53,2311.52,783.74,235.85,195.15,1720.01,505.27
33,20240102,13,1140.03,764.73,187.57,54.8,53.51,375.3,79.42
34,20240102,14,3551.1,2045.46,677.95,228.57,160.62,1505.64,438.5
35,20240102,15,2437.46,1464.38,300.06,110.27,76.85,973.08,485.9
36,20240102,16,4551.65,2776.06,605.13,226.09,213.06,1775.59,731.31
37,20240102,17,6754.67,4675.18,948.74,403.52,244.23,2079.49,483.0
38,20240102,18,383.76,254.12,69.72,30.39,18.71,129.64,10.82
39,20240102,19,3382.75,1966.69,483.98,196.16,102.77,1416.06,633.15
40,20240102,20,2854.48,1739.33,498.4,157.39,127.86,1115.15,331.5
41,20240103,1,3377.88,2036.02,711.41,133.65,113.21,1341.86,383.59
42,20240103,2,2752.87,1761.46,416.96,213.64,90.32,991.41,270.49
43,20240103,3,2070.19,1354.92,427.14,87.09,90.5,715.27,110.54
44,20240103,4,2093.28,1278.56,383.75,115.63,87.07,814.72,228.27
45,20240103,5,2711.92,1644.06,568.66,118.97,100.82,1067.86,279.41
46,20240103,6,4630.73,2606.51,594.51,171.16,185.68,2024.22,1072.87
47,20240103,7,4761.32,2946.12,952.69,316.59,168.99,1815.2,376.93
48,20240103,8,3765.61,2169.97,706.58,151.36,187.54,1595.64,550.16
49,20240103,9,3906.5,2571.39,562.92,239.1,172.94,1335.11,360.15
50,20240103,10,875.7,584.89,127.62,35.3,27.36,290.81,100.53
51,20240103,11,3208.46,2142.79,567.49,220.78,100.86,1065.67,176.54
52,20240103,12,1146.58,741.09,196.75,69.39,55.58,405.49,83.77
53,20240103,13,4325.23,2601.58,801.36,212.15,210.46,1723.65,499.68
54,20240103,14,4292.95,2898.07,614.23,139.64,156.82,1394.88,484.19
55,20240103,15,1958.2,1039.9,429.15,74.36,65.13,918.3,349.66
56,20240103,16,2515.09,1520.43,489.94,138.99,81.52,994.66,284.21
57,20240103,17,2678.19,1639.69,541.84,102.3,99.52,1038.5,294.84
58,20240103,18,2364.42,1471.83,353.66,104.55,71.57,892.59,362.81
59,20240103,19,4014.85,2741.81,550.75,282.85,195.85,1273.04,243.59
60,20240103,20,3068.88,1854.97,571.18,96.77,96.09,1213.91,449.87
61,20240104,1,3969.37,2248.97,557.98,283.17,196.0,1720.4,683.25
62,20240104,2,4573.48,2975.45,638.14,323.37,138.85,1598.03,497.67
63,20240104,3,4206.04,2591.1,839.8,256.72,161.99,1614.94,356.43
